,eta2,eta3,eta4
26285,Standard PRS for type 2 diabetes (T2D),,
26238,Standard PRS for glycated haemoglobin (HBA1C_DF),Standard PRS for glycated haemoglobin (HBA1C_DF),
26216,Standard PRS for body mass index (BMI),,
26248,Standard PRS for ischaemic stroke (ISS),,
26283,Standard PRS for type 1 diabetes (T1D),Standard PRS for type 1 diabetes (T1D),
26242,Standard PRS for high density lipoprotein cholesterol (HDL),,Standard PRS for high density lipoprotein cholesterol (HDL)
26275,,Standard PRS for schizophrenia (SCZ),
26214,,Standard PRS for bipolar disorder (BD),
26206,,,Standard PRS for alzheimer's disease (AD)
26250,,,Standard PRS for low density lipoprotein cholesterol (LDL_SF)
